[2026-04-26 02:48:13.595] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":43}
[2026-04-26 02:48:13.596] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":44}
[2026-04-26 02:48:13.596] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":46}
[2026-04-26 02:48:13.598] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":47}
[2026-04-26 02:48:13.599] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":48}
[2026-04-26 02:48:13.599] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":49}
[2026-04-26 02:48:13.602] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":50}
[2026-04-26 02:48:13.604] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":51}
[2026-04-26 02:48:13.605] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":52}
[2026-04-26 02:48:13.606] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":53}
[2026-04-26 02:48:13.611] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":54}
[2026-04-26 02:48:13.611] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":56}
[2026-04-26 02:48:13.614] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":57}
[2026-04-26 02:48:13.617] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":58}
[2026-04-26 02:48:13.617] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":62}
[2026-04-26 02:48:13.619] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":63}
[2026-04-26 02:48:13.620] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":64}
[2026-04-26 02:48:13.623] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":65}
[2026-04-26 02:48:13.627] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":66}
[2026-04-26 02:48:13.627] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":69}
[2026-04-26 02:48:13.631] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":70}
[2026-04-26 02:48:13.631] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":72}
[2026-04-26 02:48:13.713] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":73}
[2026-04-26 02:48:13.715] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":74}
